ProductID,Username,Rating,Review
1,Priya,5,Excellent Product
1,Ram,4,Good Quality
1,Akash,5,Battery backup is amazing.
1,Divya,5,Sound quality is crystal clear.
1,Karthik,4,Very comfortable for long usage.
1,Meena,5,Worth every rupee.
1,Vijay,4,Nice bass and stylish design.
2,John,5,Amazing Watch
2,Sneha,4,Very useful for fitness tracking.
2,Arun,5,Display quality is excellent.
2,Keerthi,5,Battery lasts for several days.
2,Rahul,4,Easy to connect with my phone.
2,Nisha,5,Accurate heart rate monitoring.
2,Surya,4,Premium design and lightweight.
3,Anitha,5,Speaker sound is awesome.
3,Rohit,4,Compact and easy to carry.
3,Pooja,5,Excellent bass performance.
3,Harish,5,Perfect for outdoor trips.
3,Lakshmi,4,Bluetooth connectivity is fast.
3,Sanjay,5,Loud and clear sound quality.
3,Kavya,4,Good battery backup.
4,Ajay,5,Excellent quality backpack.
4,Renu,4,Very spacious and comfortable.
4,Deepak,5,Laptop fits perfectly.
4,Shalini,5,Strong stitching and premium material.
4,Manoj,4,Perfect for office and college.
4,Aishwarya,5,Water resistant and stylish.
4,Praveen,4,Highly recommended for daily use.
